Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 2 Name,Player 2 License,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,2,20201857,CLUB DEL MAR DE SAN AMARO,20201927,FINISTERRE REST. A MOA,NEREA GONZALEZ LOPEZ, 31475,JIAQI GUO CHEN, 26947,,,,,11-9,6-11,10-12,7-11,,1-3,0 - 1
singles,2,20201857,CLUB DEL MAR DE SAN AMARO,20201927,FINISTERRE REST. A MOA,LEIRE SANTOS INSUA, 33737,MIAO CHEN, 26307,,,,,9-11,6-11,8-11,,,0-3,0 - 2
singles,2,20201857,CLUB DEL MAR DE SAN AMARO,20201927,FINISTERRE REST. A MOA,ELVIRA GARCIA RODRIGUEZ, 773,TERESA CARRASCO VIEITO, 34289,,,,,11-4,11-2,11-0,,,3-0,1 - 2
singles,2,20201857,CLUB DEL MAR DE SAN AMARO,20201927,FINISTERRE REST. A MOA,NEREA GONZALEZ LOPEZ, 31475,MIAO CHEN, 26307,,,,,4-11,7-11,11-9,9-11,,1-3,1 - 3
singles,2,20201857,CLUB DEL MAR DE SAN AMARO,20201927,FINISTERRE REST. A MOA,ELVIRA GARCIA RODRIGUEZ, 773,JIAQI GUO CHEN, 26947,,,,,1-11,5-11,8-11,,,0-3,1 - 4
singles,2,20201857,CLUB DEL MAR DE SAN AMARO,20201927,FINISTERRE REST. A MOA,LEIRE SANTOS INSUA, 33737,TERESA CARRASCO VIEITO, 34289,,,,,12-10,11-9,11-3,,,3-0,2 - 4
singles,3,20201857,CLUB DEL MAR DE SAN AMARO,10460,CONFITERIA CAPRI PONTEVEDRA,LAURA FORTE LEYENDA, 28709,JIAQI GUO CHEN, 26947,,,,,11-7,11-5,11-9,,,3-0,1 - 0
singles,3,20201857,CLUB DEL MAR DE SAN AMARO,10460,CONFITERIA CAPRI PONTEVEDRA,MARIÑA GARCIA  TRELLES, 19656,MIAO CHEN, 26307,,,,,11-8,11-8,7-11,8-11,3-11,2-3,1 - 1
singles,3,20201857,CLUB DEL MAR DE SAN AMARO,10460,CONFITERIA CAPRI PONTEVEDRA,EMMA ALVAREZ LOPEZ, 24230,TERESA CARRASCO VIEITO, 34289,,,,,11-7,11-4,11-7,,,3-0,2 - 1
singles,3,20201857,CLUB DEL MAR DE SAN AMARO,10460,CONFITERIA CAPRI PONTEVEDRA,LAURA FORTE LEYENDA, 28709,MIAO CHEN, 26307,,,,,7-11,9-11,11-9,11-5,17-15,3-2,3 - 1
singles,3,20201857,CLUB DEL MAR DE SAN AMARO,10460,CONFITERIA CAPRI PONTEVEDRA,EMMA ALVAREZ LOPEZ, 24230,JIAQI GUO CHEN, 26947,,,,,4-11,11-2,9-11,6-11,,1-3,3 - 2
singles,3,20201857,CLUB DEL MAR DE SAN AMARO,10460,CONFITERIA CAPRI PONTEVEDRA,MARIÑA GARCIA  TRELLES, 19656,TERESA CARRASCO VIEITO, 34289,,,,,11-0,11-2,11-3,,,3-0,4 - 2
singles,4,20201857,CLUB DEL MAR DE SAN AMARO,10044,COFERSA CIDADE DE NARÓN,CANDELA MONTERO CAAVEIRO, 23573,TERESA CARRASCO VIEITO, 34289,,,,,11-5,11-4,11-2,,,3-0,1 - 0
singles,4,20201857,CLUB DEL MAR DE SAN AMARO,10044,COFERSA CIDADE DE NARÓN,JULIA GUERRA FERNANDEZ, 20530,MIAO CHEN, 26307,,,,,9-11,9-11,5-11,,,0-3,1 - 1
singles,4,20201857,CLUB DEL MAR DE SAN AMARO,10044,COFERSA CIDADE DE NARÓN,LUCIA SAURA GOMEZ, 27808,JIAQI GUO CHEN, 26947,,,,,11-9,11-8,10-12,8-11,9-11,2-3,1 - 2
singles,4,20201857,CLUB DEL MAR DE SAN AMARO,10044,COFERSA CIDADE DE NARÓN,CANDELA MONTERO CAAVEIRO, 23573,MIAO CHEN, 26307,,,,,6-11,10-12,5-11,,,0-3,1 - 3
singles,4,20201857,CLUB DEL MAR DE SAN AMARO,10044,COFERSA CIDADE DE NARÓN,LUCIA SAURA GOMEZ, 27808,TERESA CARRASCO VIEITO, 34289,,,,,11-2,11-4,11-1,,,3-0,2 - 3
singles,4,20201857,CLUB DEL MAR DE SAN AMARO,10044,COFERSA CIDADE DE NARÓN,JULIA GUERRA FERNANDEZ, 20530,JIAQI GUO CHEN, 26947,,,,,11-9,11-8,8-11,11-1,,3-1,3 - 3
singles,5,97,C.T.M.CORUÑA,20201857,CLUB DEL MAR DE SAN AMARO,JIAQI GUO CHEN, 26947,PILAR VARELA SIMO, 24218,,,,,11-9,11-7,9-11,11-5,,3-1,1 - 0
singles,5,97,C.T.M.CORUÑA,20201857,CLUB DEL MAR DE SAN AMARO,TERESA CARRASCO VIEITO, 34289,CARMELA CARRERAS PORTELA, 22360,,,,,5-11,12-14,6-11,,,0-3,1 - 1
singles,5,97,C.T.M.CORUÑA,20201857,CLUB DEL MAR DE SAN AMARO,MIAO CHEN, 26307,ESTEFANIA BOLAÑO MODIA, 5675,,,,,11-5,11-4,11-5,,,3-0,2 - 1
singles,5,97,C.T.M.CORUÑA,20201857,CLUB DEL MAR DE SAN AMARO,JIAQI GUO CHEN, 26947,CARMELA CARRERAS PORTELA, 22360,,,,,11-3,11-5,9-11,11-4,,3-1,3 - 1
singles,5,97,C.T.M.CORUÑA,20201857,CLUB DEL MAR DE SAN AMARO,MIAO CHEN, 26307,PILAR VARELA SIMO, 24218,,,,,11-4,11-1,11-6,,,3-0,4 - 1
singles,5,97,C.T.M.CORUÑA,20201857,CLUB DEL MAR DE SAN AMARO,TERESA CARRASCO VIEITO, 34289,ESTEFANIA BOLAÑO MODIA, 5675,,,,,12-14,7-11,9-11,,,0-3,4 - 2
singles,8,20201927,FINISTERRE REST. A MOA,20201857,CLUB DEL MAR DE SAN AMARO,NEREA GONZALEZ LOPEZ, 31475,MIAO CHEN, 26307,,,,,5-11,4-11,10-12,,,0-3,1 - 3
singles,8,20201927,FINISTERRE REST. A MOA,20201857,CLUB DEL MAR DE SAN AMARO,ELVIRA GARCIA RODRIGUEZ, 773,JIAQI GUO CHEN, 26947,,,,,11-8,6-11,12-10,1-11,6-11,2-3,1 - 4
singles,9,10460,CONFITERIA CAPRI PONTEVEDRA,20201857,CLUB DEL MAR DE SAN AMARO,LAURA FORTE LEYENDA, 28709,TERESA CARRASCO VIEITO, 34289,,,,,11-3,11-2,11-3,,,3-0,1 - 0
singles,9,10460,CONFITERIA CAPRI PONTEVEDRA,20201857,CLUB DEL MAR DE SAN AMARO,EMMA ALVAREZ LOPEZ, 24230,JIAQI GUO CHEN, 26947,,,,,11-9,10-12,6-11,6-11,,1-3,1 - 1
singles,9,10460,CONFITERIA CAPRI PONTEVEDRA,20201857,CLUB DEL MAR DE SAN AMARO,MARIÑA GARCIA  TRELLES, 19656,MIAO CHEN, 26307,,,,,9-11,6-11,7-11,,,0-3,1 - 2
singles,9,10460,CONFITERIA CAPRI PONTEVEDRA,20201857,CLUB DEL MAR DE SAN AMARO,LAURA FORTE LEYENDA, 28709,JIAQI GUO CHEN, 26947,,,,,11-8,11-6,11-7,,,3-0,2 - 2
singles,9,10460,CONFITERIA CAPRI PONTEVEDRA,20201857,CLUB DEL MAR DE SAN AMARO,MARIÑA GARCIA  TRELLES, 19656,TERESA CARRASCO VIEITO, 34289,,,,,11-2,11-1,11-2,,,3-0,3 - 2
singles,9,10460,CONFITERIA CAPRI PONTEVEDRA,20201857,CLUB DEL MAR DE SAN AMARO,EMMA ALVAREZ LOPEZ, 24230,MIAO CHEN, 26307,,,,,2-11,3-11,4-11,,,0-3,3 - 3
singles,10,10044,COFERSA CIDADE DE NARÓN,20201857,CLUB DEL MAR DE SAN AMARO,LUCIA SAURA GOMEZ, 27808,MIAO CHEN, 26307,,,,,11-9,11-13,5-11,12-10,2-11,2-3,0 - 1
singles,10,10044,COFERSA CIDADE DE NARÓN,20201857,CLUB DEL MAR DE SAN AMARO,JULIA GUERRA FERNANDEZ, 20530,JIAQI GUO CHEN, 26947,,,,,11-9,5-11,11-7,11-4,,3-1,1 - 1
singles,10,10044,COFERSA CIDADE DE NARÓN,20201857,CLUB DEL MAR DE SAN AMARO,LOLA BACELO VIÑAS, 33491,TERESA CARRASCO VIEITO, 34289,,,,,11-5,11-3,11-4,,,3-0,2 - 1
singles,10,10044,COFERSA CIDADE DE NARÓN,20201857,CLUB DEL MAR DE SAN AMARO,LUCIA SAURA GOMEZ, 27808,JIAQI GUO CHEN, 26947,,,,,9-11,9-11,3-11,,,0-3,2 - 2
singles,10,10044,COFERSA CIDADE DE NARÓN,20201857,CLUB DEL MAR DE SAN AMARO,LOLA BACELO VIÑAS, 33491,MIAO CHEN, 26307,,,,,4-11,4-11,7-11,,,0-3,2 - 3
singles,10,10044,COFERSA CIDADE DE NARÓN,20201857,CLUB DEL MAR DE SAN AMARO,JULIA GUERRA FERNANDEZ, 20530,TERESA CARRASCO VIEITO, 34289,,,,,11-5,11-2,11-2,,,3-0,3 - 3
singles,11,20201857,CLUB DEL MAR DE SAN AMARO,97,C.T.M.CORUÑA,JIAQI GUO CHEN, 26947,MARIA DOLORES PAZ LOPEZ, 14452,,,,,11-4,7-11,11-4,7-11,11-7,3-2,1 - 0
singles,11,20201857,CLUB DEL MAR DE SAN AMARO,97,C.T.M.CORUÑA,MIAO CHEN, 26307,ESTEFANIA BOLAÑO MODIA, 5675,,,,,11-6,11-2,11-6,,,3-0,2 - 0
singles,11,20201857,CLUB DEL MAR DE SAN AMARO,97,C.T.M.CORUÑA,TERESA CARRASCO VIEITO, 34289,CARMELA CARRERAS PORTELA, 22360,,,,,11-5,11-7,6-11,9-11,3-11,2-3,2 - 1
singles,11,20201857,CLUB DEL MAR DE SAN AMARO,97,C.T.M.CORUÑA,JIAQI GUO CHEN, 26947,ESTEFANIA BOLAÑO MODIA, 5675,,,,,11-8,10-12,11-6,9-11,11-5,3-2,3 - 1
