Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 2 Name,Player 2 License,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,2,41,TENNIS TAULA CASSÁ,150,TERMOTUR CALELLA,"KUMAR , AMAN", 26076,"PELACHS MONELL, MARTI", 16381,,,,,5-11,4-11,5-11,,,0-3,0 - 1
singles,2,41,TENNIS TAULA CASSÁ,150,TERMOTUR CALELLA,"ARCOS ASENCIO, ALBERT", 2538,"CONIC , DANIEL", 26216,,,,,7-11,6-11,10-12,,,0-3,0 - 2
singles,2,41,TENNIS TAULA CASSÁ,150,TERMOTUR CALELLA,"MARTINEZ ALEJANDRES, ABEL", 9799,"PUIGMOLE JIMENEZ, ANDREU", 20398,,,,,6-11,9-11,11-9,10-12,,1-3,0 - 3
singles,2,41,TENNIS TAULA CASSÁ,150,TERMOTUR CALELLA,"KUMAR , AMAN", 26076,"CONIC , DANIEL", 26216,,,,,4-11,5-11,7-11,,,0-3,0 - 4
singles,2,41,TENNIS TAULA CASSÁ,150,TERMOTUR CALELLA,"MARTINEZ ALEJANDRES, ABEL", 9799,"PELACHS MONELL, MARTI", 16381,,,,,11-9,9-11,10-12,11-3,11-6,3-2,1 - 4
singles,2,41,TENNIS TAULA CASSÁ,150,TERMOTUR CALELLA,"ARCOS ASENCIO, ALBERT", 2538,"PUIGMOLE JIMENEZ, ANDREU", 20398,,,,,11-7,11-8,11-13,11-4,,3-1,2 - 4
singles,3,150,TERMOTUR CALELLA,40,CETT ESPARREGUERA,"MARTINEZ ALEJANDRES, ABEL", 9799,"FERREIRA GONZAGA, NUNO ALEXANDRE", 39126,,,,,7-11,3-11,7-11,,,0-3,0 - 1
singles,3,150,TERMOTUR CALELLA,40,CETT ESPARREGUERA,"MALLORQUÍ CAMPÀ, ADRIÁ", 16039,"CINTAS ORTEGA, ERIC", 25660,,,,,8-11,1-11,6-11,,,0-3,0 - 2
singles,3,150,TERMOTUR CALELLA,40,CETT ESPARREGUERA,"ARCOS ASENCIO, ALBERT", 2538,"VIDAL CASANOVAS, ALEXANDRE", 3008,,,,,4-11,6-11,11-9,8-11,,1-3,0 - 3
singles,3,150,TERMOTUR CALELLA,40,CETT ESPARREGUERA,"MARTINEZ ALEJANDRES, ABEL", 9799,"CINTAS ORTEGA, ERIC", 25660,,,,,5-11,11-13,11-6,11-9,11-4,3-2,1 - 3
singles,3,150,TERMOTUR CALELLA,40,CETT ESPARREGUERA,"ARCOS ASENCIO, ALBERT", 2538,"FERREIRA GONZAGA, NUNO ALEXANDRE", 39126,,,,,8-11,11-13,6-11,,,0-3,1 - 4
singles,3,150,TERMOTUR CALELLA,40,CETT ESPARREGUERA,"MALLORQUÍ CAMPÀ, ADRIÁ", 16039,"VIDAL CASANOVAS, ALEXANDRE", 3008,,,,,11-8,6-11,12-10,4-11,11-13,2-3,1 - 5
singles,4,305,LES BORGES GENERAL D'OLIS,150,TERMOTUR CALELLA,"ARCOS ASENCIO, ALBERT", 2538,"TAULER ALSINA, NORBERT", 18284,,,,,5-11,6-11,4-11,,,0-3,0 - 1
singles,4,305,LES BORGES GENERAL D'OLIS,150,TERMOTUR CALELLA,"MARTINEZ ALEJANDRES, ABEL", 9799,"CARRERA RUIZ, FRANCESC", 24329,,,,,13-11,11-6,11-13,11-8,,3-1,1 - 1
singles,4,305,LES BORGES GENERAL D'OLIS,150,TERMOTUR CALELLA,"MALLORQUÍ CAMPÀ, ADRIÁ", 16039,"JIMéNEZ BENíTEZ, JAIR", 39800,,,,,4-11,11-8,6-11,8-11,,1-3,1 - 2
singles,4,305,LES BORGES GENERAL D'OLIS,150,TERMOTUR CALELLA,"ARCOS ASENCIO, ALBERT", 2538,"CARRERA RUIZ, FRANCESC", 24329,,,,,10-12,5-11,8-11,,,0-3,1 - 3
singles,4,305,LES BORGES GENERAL D'OLIS,150,TERMOTUR CALELLA,"MALLORQUÍ CAMPÀ, ADRIÁ", 16039,"TAULER ALSINA, NORBERT", 18284,,,,,8-11,7-11,8-11,,,0-3,1 - 4
singles,4,305,LES BORGES GENERAL D'OLIS,150,TERMOTUR CALELLA,"MARTINEZ ALEJANDRES, ABEL", 9799,"JIMéNEZ BENíTEZ, JAIR", 39800,,,,,11-9,2-11,4-11,11-8,5-11,2-3,1 - 5
singles,5,150,TERMOTUR CALELLA,768,C.T.T. OLOT - EIO,"MARTINEZ ALEJANDRES, ABEL", 9799,"CAYMEL ROMERO, MARC", 3792,,,,,11-3,11-13,6-11,4-11,,1-3,0 - 1
singles,5,150,TERMOTUR CALELLA,768,C.T.T. OLOT - EIO,"ARCOS ASENCIO, ALBERT", 2538,"POMMIER SALA, ADRIA", 16384,,,,,6-11,9-11,11-9,11-13,,1-3,0 - 2
singles,5,150,TERMOTUR CALELLA,768,C.T.T. OLOT - EIO,"MALLORQUÍ CAMPÀ, ADRIÁ", 16039,"ROCA SALA, ARNAU", 19550,,,,,11-9,6-11,8-11,9-11,,1-3,0 - 3
singles,5,150,TERMOTUR CALELLA,768,C.T.T. OLOT - EIO,"MARTINEZ ALEJANDRES, ABEL", 9799,"POMMIER SALA, ADRIA", 16384,,,,,6-11,5-11,12-10,8-11,,1-3,0 - 4
singles,5,150,TERMOTUR CALELLA,768,C.T.T. OLOT - EIO,"MALLORQUÍ CAMPÀ, ADRIÁ", 16039,"CAYMEL ROMERO, MARC", 3792,,,,,4-11,7-11,11-8,8-11,,1-3,0 - 5
singles,5,150,TERMOTUR CALELLA,768,C.T.T. OLOT - EIO,"ARCOS ASENCIO, ALBERT", 2538,"ROCA SALA, ARNAU", 19550,,,,,12-14,9-11,7-11,,,0-3,0 - 6
singles,6,150,TERMOTUR CALELLA,1072,SOSMATIC BADALONA,"MARTINEZ ALEJANDRES, ABEL", 9799,"BRUGADA BELLSOLÀ, FERRAN", 3772,,,,,11-8,7-11,8-11,12-10,8-11,2-3,0 - 1
singles,6,150,TERMOTUR CALELLA,1072,SOSMATIC BADALONA,"MALLORQUÍ CAMPÀ, ADRIÁ", 16039,"NAVARRO GALVEZ, PERE", 2562,,,,,9-11,11-8,8-11,1-11,,1-3,0 - 2
singles,6,150,TERMOTUR CALELLA,1072,SOSMATIC BADALONA,"ARCOS ASENCIO, ALBERT", 2538,"LLORET RIGAT, PAU", 16795,,,,,16-14,9-11,11-3,8-11,12-14,2-3,0 - 3
singles,6,150,TERMOTUR CALELLA,1072,SOSMATIC BADALONA,"MARTINEZ ALEJANDRES, ABEL", 9799,"NAVARRO GALVEZ, PERE", 2562,,,,,8-11,5-11,11-8,8-11,,1-3,0 - 4
singles,6,150,TERMOTUR CALELLA,1072,SOSMATIC BADALONA,"ARCOS ASENCIO, ALBERT", 2538,"BRUGADA BELLSOLÀ, FERRAN", 3772,,,,,11-6,4-11,12-10,7-11,10-12,2-3,0 - 5
singles,6,150,TERMOTUR CALELLA,1072,SOSMATIC BADALONA,"MALLORQUÍ CAMPÀ, ADRIÁ", 16039,"LLORET RIGAT, PAU", 16795,,,,,11-9,7-11,9-11,13-11,8-11,2-3,0 - 6
singles,7,45,GIRBAU VIC T.T.,150,TERMOTUR CALELLA,"MARTINEZ ALEJANDRES, ABEL", 9799,"MOLIST PALOMERA, SERGI", 15194,,,,,11-3,3-11,11-8,6-11,13-11,3-2,1 - 0
singles,7,45,GIRBAU VIC T.T.,150,TERMOTUR CALELLA,"ABIO BUIL, XAVIER", 28312,"GIMENO FONT, BIEL", 23509,,,,,7-11,16-14,4-11,7-11,,1-3,1 - 1
