Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 2 Name,Player 2 License,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,14016,CLUB TENNIS TAULA BARCELONA,262,TERMOTUR CALELLA,"GHASEMI , SOHEIL", 35454,"ZIMARIN , ARTEM", 29868,,,,,7-11,6-11,2-11,,,0-3,0 - 1
singles,1,14016,CLUB TENNIS TAULA BARCELONA,262,TERMOTUR CALELLA,"ABIO BUIL, XAVIER", 28312,"GUARDIOLA CASALS, FERRAN", 28139,,,,,11-6,8-11,13-15,14-12,11-4,3-2,1 - 1
singles,1,14016,CLUB TENNIS TAULA BARCELONA,262,TERMOTUR CALELLA,"KUMAR , AMAN", 26076,"PIERA PI, POL", 24306,,,,,11-6,7-11,4-11,6-11,,1-3,1 - 2
singles,1,14016,CLUB TENNIS TAULA BARCELONA,262,TERMOTUR CALELLA,"GHASEMI , SOHEIL", 35454,"GUARDIOLA CASALS, FERRAN", 28139,,,,,6-11,5-11,7-11,,,0-3,1 - 3
singles,1,14016,CLUB TENNIS TAULA BARCELONA,262,TERMOTUR CALELLA,"KUMAR , AMAN", 26076,"ZIMARIN , ARTEM", 29868,,,,,7-11,6-11,4-11,,,0-3,1 - 4
singles,1,14016,CLUB TENNIS TAULA BARCELONA,262,TERMOTUR CALELLA,"ABIO BUIL, XAVIER", 28312,"PIERA PI, POL", 24306,,,,,11-6,12-10,6-11,10-12,7-11,2-3,1 - 5
singles,2,262,TERMOTUR CALELLA,14009,CLUB TENNIS TAULA LA BISBAL,"CLOTET CARRERAS, MARC", 2146,"ABIO BUIL, XAVIER", 28312,,,,,8-11,11-8,11-5,11-9,,3-1,1 - 0
singles,2,262,TERMOTUR CALELLA,14009,CLUB TENNIS TAULA LA BISBAL,"BERNEDA GIBERT, ROBERT", 25058,"GHASEMI , SOHEIL", 35454,,,,,10-12,11-9,11-3,11-9,,3-1,2 - 0
singles,2,262,TERMOTUR CALELLA,14009,CLUB TENNIS TAULA LA BISBAL,"ARTACHO FONTANET, SERGI", 8913,"PUIG POZUELO, AITOR", 2244,,,,,11-7,6-11,8-11,11-3,8-11,2-3,2 - 1
singles,2,262,TERMOTUR CALELLA,14009,CLUB TENNIS TAULA LA BISBAL,"CLOTET CARRERAS, MARC", 2146,"GHASEMI , SOHEIL", 35454,,,,,11-7,14-12,9-11,11-7,,3-1,3 - 1
singles,2,262,TERMOTUR CALELLA,14009,CLUB TENNIS TAULA LA BISBAL,"ARTACHO FONTANET, SERGI", 8913,"ABIO BUIL, XAVIER", 28312,,,,,11-7,11-9,11-5,,,3-0,4 - 1
singles,2,262,TERMOTUR CALELLA,14009,CLUB TENNIS TAULA LA BISBAL,"BERNEDA GIBERT, ROBERT", 25058,"PUIG POZUELO, AITOR", 2244,,,,,11-13,11-7,11-8,12-10,,3-1,5 - 1
singles,3,64,CETT ESPARREGUERA,262,TERMOTUR CALELLA,"ABANTE ALERT, ORIOL", 6552,"KUMAR , AMAN", 26076,,,,,11-4,8-11,11-6,10-12,11-9,3-2,1 - 0
singles,3,64,CETT ESPARREGUERA,262,TERMOTUR CALELLA,"MORALES GARCIA, JORDI", 2719,"ABIO BUIL, XAVIER", 28312,,,,,10-12,7-11,4-11,,,0-3,1 - 1
