Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 2 Name,Player 2 License,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,20233046,C.D FORTUNA K.E - SUPER AMARA B,10015,C.D FORTUNA K.E - SUPER AMARA A,"GUTIERREZ , GORKA", 37573,"ARROZPIDE NEGREDO, IÑIGO", 21734,,,,,9-11,6-11,4-11,,,0-3,0 - 1
singles,1,20233046,C.D FORTUNA K.E - SUPER AMARA B,10015,C.D FORTUNA K.E - SUPER AMARA A,"MARTIN DOMINGUEZ, XABI", 37570,"GOMEZ SUN, EKAIN", 31088,,,,,11-8,8-11,4-11,11-9,5-11,2-3,0 - 2
singles,1,20233046,C.D FORTUNA K.E - SUPER AMARA B,10015,C.D FORTUNA K.E - SUPER AMARA A,"GARCIA CAMARERO, DANEL", 33716,"POMPOSO MATEO, ARITZ", 20211,,,,,7-11,5-11,7-11,,,0-3,0 - 3
singles,1,20233046,C.D FORTUNA K.E - SUPER AMARA B,10015,C.D FORTUNA K.E - SUPER AMARA A,"GUTIERREZ , GORKA", 37573,"GOMEZ SUN, EKAIN", 31088,,,,,9-11,8-11,6-11,,,0-3,0 - 4
singles,1,20233046,C.D FORTUNA K.E - SUPER AMARA B,10015,C.D FORTUNA K.E - SUPER AMARA A,"GARCIA CAMARERO, DANEL", 33716,"ARROZPIDE NEGREDO, IÑIGO", 21734,,,,,9-11,9-11,10-12,,,0-3,0 - 5
singles,1,20233046,C.D FORTUNA K.E - SUPER AMARA B,10015,C.D FORTUNA K.E - SUPER AMARA A,"MARTIN DOMINGUEZ, XABI", 37570,"POMPOSO MATEO, ARITZ", 20211,,,,,11-0,11-0,11-0,,,3-0,1 - 5
singles,2,10015,C.D FORTUNA K.E - SUPER AMARA A,2017365,FONTANERIA IRURIETA BERAUN-ERRENTERIA TM B,"ARROZPIDE NEGREDO, IÑIGO", 21734,"OLEA BELLO, AIEKO", 19912,,,,,11-7,11-7,11-9,,,3-0,1 - 0
singles,2,10015,C.D FORTUNA K.E - SUPER AMARA A,2017365,FONTANERIA IRURIETA BERAUN-ERRENTERIA TM B,"POMPOSO MATEO, ARITZ", 20211,"MINGUEZ AZURMENDI, HAITZ", 28078,,,,,5-11,12-10,9-11,9-11,,1-3,1 - 1
singles,2,10015,C.D FORTUNA K.E - SUPER AMARA A,2017365,FONTANERIA IRURIETA BERAUN-ERRENTERIA TM B,"GOMEZ SUN, EKAIN", 31088,"GARCIA PRIETO, IKER", 19913,,,,,11-7,8-11,11-5,8-11,11-8,3-2,2 - 1
singles,2,10015,C.D FORTUNA K.E - SUPER AMARA A,2017365,FONTANERIA IRURIETA BERAUN-ERRENTERIA TM B,"ARROZPIDE NEGREDO, IÑIGO", 21734,"MINGUEZ AZURMENDI, HAITZ", 28078,,,,,5-11,11-7,8-11,11-9,13-11,3-2,3 - 1
singles,2,10015,C.D FORTUNA K.E - SUPER AMARA A,2017365,FONTANERIA IRURIETA BERAUN-ERRENTERIA TM B,"GOMEZ SUN, EKAIN", 31088,"OLEA BELLO, AIEKO", 19912,,,,,5-11,9-11,11-7,11-6,11-8,3-2,4 - 1
singles,2,10015,C.D FORTUNA K.E - SUPER AMARA A,2017365,FONTANERIA IRURIETA BERAUN-ERRENTERIA TM B,"POMPOSO MATEO, ARITZ", 20211,"GARCIA PRIETO, IKER", 19913,,,,,11-13,6-11,1-11,,,0-3,4 - 2
singles,3,20191583,UNIVERSIDAD DE BURGOS - TPF,10015,C.D FORTUNA K.E - SUPER AMARA A,"IRIARTE ESPINOSA, IMANOL", 3936,"MARTINEZ MEDIAVILLA, RAUL", 2085,,,,,9-11,11-13,9-11,,,0-3,0 - 1
singles,3,20191583,UNIVERSIDAD DE BURGOS - TPF,10015,C.D FORTUNA K.E - SUPER AMARA A,"ARROZPIDE NEGREDO, IÑIGO", 21734,"GARCIA NIETO, ENRIQUE", 27699,,,,,9-11,11-13,7-11,,,0-3,0 - 2
singles,3,20191583,UNIVERSIDAD DE BURGOS - TPF,10015,C.D FORTUNA K.E - SUPER AMARA A,"POMPOSO MATEO, ARITZ", 20211,"MENDEZ ALONSO, SERGIO", 30901,,,,,11-5,12-10,11-9,,,3-0,1 - 2
singles,3,20191583,UNIVERSIDAD DE BURGOS - TPF,10015,C.D FORTUNA K.E - SUPER AMARA A,"IRIARTE ESPINOSA, IMANOL", 3936,"GARCIA NIETO, ENRIQUE", 27699,,,,,7-11,8-11,11-4,7-11,,1-3,1 - 3
singles,3,20191583,UNIVERSIDAD DE BURGOS - TPF,10015,C.D FORTUNA K.E - SUPER AMARA A,"POMPOSO MATEO, ARITZ", 20211,"MARTINEZ MEDIAVILLA, RAUL", 2085,,,,,11-7,11-8,3-11,11-7,,3-1,2 - 3
singles,3,20191583,UNIVERSIDAD DE BURGOS - TPF,10015,C.D FORTUNA K.E - SUPER AMARA A,"ARROZPIDE NEGREDO, IÑIGO", 21734,"MENDEZ ALONSO, SERGIO", 30901,,,,,11-9,7-11,6-11,4-11,,1-3,2 - 4
singles,4,10015,C.D FORTUNA K.E - SUPER AMARA A,20233045,BASAURI URBI,"MACARIO GALINDO, CRISTIAN", 29639,"POMPOSO MATEO, ARITZ", 20211,,,,,8-11,11-8,9-11,5-11,,1-3,0 - 1
singles,4,10015,C.D FORTUNA K.E - SUPER AMARA A,20233045,BASAURI URBI,"RAMOS MARCOS, MARIO", 31859,"GOMEZ SUN, EKAIN", 31088,,,,,8-11,8-11,8-11,,,0-3,0 - 2
