Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 2 Name,Player 2 License,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,811,C.T.T. OLOT - CAPDEVILA PERMAR,73,ALICANTE TM,"ZHMUDENKO , YAROSLAV", 27181 ,"LILLO BORDAJANDI, DIEGO", 18376 ,,,,,11-7,7-11,11-5,11-9,,3-1,1 - 0
singles,1,811,C.T.T. OLOT - CAPDEVILA PERMAR,73,ALICANTE TM,"PONS SANUY, ARNAU", 17694 ,"BADOWSKI , MAREK PIOTR", 43191 ,,,,,9-11,4-11,4-11,,,0-3,1 - 1
singles,1,811,C.T.T. OLOT - CAPDEVILA PERMAR,73,ALICANTE TM,"PROVOST , DAMIEN ROLAND", 27561 ,"ZATÓWKA , PATRYK", 41733 ,,,,,11-5,8-11,11-1,7-11,12-10,3-2,2 - 1
singles,1,811,C.T.T. OLOT - CAPDEVILA PERMAR,73,ALICANTE TM,"ZHMUDENKO , YAROSLAV", 27181 ,"BADOWSKI , MAREK PIOTR", 43191 ,,,,,2-11,11-6,7-11,7-11,,1-3,2 - 2
singles,1,811,C.T.T. OLOT - CAPDEVILA PERMAR,73,ALICANTE TM,"PROVOST , DAMIEN ROLAND", 27561 ,"LILLO BORDAJANDI, DIEGO", 18376 ,,,,,7-11,11-6,7-11,9-11,,1-3,2 - 3
singles,1,811,C.T.T. OLOT - CAPDEVILA PERMAR,73,ALICANTE TM,"PONS SANUY, ARNAU", 17694 ,"ZATÓWKA , PATRYK", 41733 ,,,,,12-14,9-11,2-11,,,0-3,2 - 4
singles,2,1034,VISIT PONTEVEDRA,811,C.T.T. OLOT - CAPDEVILA PERMAR,"ZHMUDENKO , YAROSLAV", 27181 ,"BENTANCOR FERNANDEZ, MARTIN SEBASTIAN", 32709 ,,,,,11-3,10-12,11-7,11-13,11-8,3-2,1 - 0
singles,2,1034,VISIT PONTEVEDRA,811,C.T.T. OLOT - CAPDEVILA PERMAR,"DOS SANTOS PINHO, DIOGO JOSÉ", 33982 ,"COELHO DA SILVA , ANDRE FILIPE", 22020 ,,,,,11-8,9-11,11-8,11-5,,3-1,2 - 0
singles,2,1034,VISIT PONTEVEDRA,811,C.T.T. OLOT - CAPDEVILA PERMAR,"MARTINS DA SILVA, DIOGO MIGUEL", 40963 ,"VILCHEZ IGLESIAS, MIGUEL ANGEL", 4833 ,,,,,10-12,5-11,11-8,11-9,6-11,2-3,2 - 1
singles,2,1034,VISIT PONTEVEDRA,811,C.T.T. OLOT - CAPDEVILA PERMAR,"ZHMUDENKO , YAROSLAV", 27181 ,"COELHO DA SILVA , ANDRE FILIPE", 22020 ,,,,,4-11,11-7,11-1,7-11,7-11,2-3,2 - 2
singles,2,1034,VISIT PONTEVEDRA,811,C.T.T. OLOT - CAPDEVILA PERMAR,"MARTINS DA SILVA, DIOGO MIGUEL", 40963 ,"BENTANCOR FERNANDEZ, MARTIN SEBASTIAN", 32709 ,,,,,5-11,4-11,8-11,,,0-3,2 - 3
singles,2,1034,VISIT PONTEVEDRA,811,C.T.T. OLOT - CAPDEVILA PERMAR,"DOS SANTOS PINHO, DIOGO JOSÉ", 33982 ,"VILCHEZ IGLESIAS, MIGUEL ANGEL", 4833 ,,,,,11-3,8-11,10-12,8-11,,1-3,2 - 4
singles,3,811,C.T.T. OLOT - CAPDEVILA PERMAR,23,C.E.R. ROBIN HAT/PRISCO L´ESCALA,"YEH , CHIH-WEI", 33851 ,"DE LAS HERAS PLAZA, RAFAEL", 19291 ,,,,,11-8,9-11,9-11,11-6,7-11,2-3,0 - 1
singles,3,811,C.T.T. OLOT - CAPDEVILA PERMAR,23,C.E.R. ROBIN HAT/PRISCO L´ESCALA,"GONZALEZ H. HERNANDEZ, IKER", 16808 ,"ZHMUDENKO , YAROSLAV", 27181 ,,,,,11-13,11-7,6-11,7-11,,1-3,0 - 2
singles,3,811,C.T.T. OLOT - CAPDEVILA PERMAR,23,C.E.R. ROBIN HAT/PRISCO L´ESCALA,"PERAL PARENT, XAVIER", 3969 ,"PROVOST , DAMIEN ROLAND", 27561 ,,,,,11-9,5-11,5-11,7-11,,1-3,0 - 3
singles,3,811,C.T.T. OLOT - CAPDEVILA PERMAR,23,C.E.R. ROBIN HAT/PRISCO L´ESCALA,"YEH , CHIH-WEI", 33851 ,"ZHMUDENKO , YAROSLAV", 27181 ,,,,,7-11,5-11,11-8,11-13,,1-3,0 - 4
singles,4,24,REAL CAJASUR PRIEGO TM,811,C.T.T. OLOT - CAPDEVILA PERMAR,"MARTINS DA SILVA, DIOGO MIGUEL", 40963 ,"FERREIRA  DE CARVALHO, DIOGO MIGUEL", 17121 ,,,,,14-12,11-9,8-11,4-11,7-11,2-3,0 - 1
singles,4,24,REAL CAJASUR PRIEGO TM,811,C.T.T. OLOT - CAPDEVILA PERMAR,"PONS SANUY, ARNAU", 17694 ,"SODERLUND , HAMPUS KE HANNES", 22235 ,,,,,3-11,6-11,11-7,12-10,7-11,2-3,0 - 2
singles,4,24,REAL CAJASUR PRIEGO TM,811,C.T.T. OLOT - CAPDEVILA PERMAR,"PROVOST , DAMIEN ROLAND", 27561 ,"LILLO BORDAJANDI, ALBERTO", 17948 ,,,,,12-14,11-4,11-9,11-9,,3-1,1 - 2
singles,4,24,REAL CAJASUR PRIEGO TM,811,C.T.T. OLOT - CAPDEVILA PERMAR,"MARTINS DA SILVA, DIOGO MIGUEL", 40963 ,"SODERLUND , HAMPUS KE HANNES", 22235 ,,,,,3-11,8-11,11-8,6-11,,1-3,1 - 3
singles,4,24,REAL CAJASUR PRIEGO TM,811,C.T.T. OLOT - CAPDEVILA PERMAR,"PROVOST , DAMIEN ROLAND", 27561 ,"FERREIRA  DE CARVALHO, DIOGO MIGUEL", 17121 ,,,,,5-11,13-15,8-11,,,0-3,1 - 4
singles,5,811,C.T.T. OLOT - CAPDEVILA PERMAR,177,TECNIGEN LINARES,"PONS SANUY, ARNAU", 17694 ,"CHO , KIJEON", 44509 ,,,,,8-11,11-7,6-11,14-12,11-5,3-2,1 - 0
singles,5,811,C.T.T. OLOT - CAPDEVILA PERMAR,177,TECNIGEN LINARES,"DOS SANTOS PINHO, DIOGO JOSÉ", 33982 ,"CABALLERO CUELLAR, CARLOS", 6788 ,,,,,6-11,11-9,11-8,11-8,,3-1,2 - 0
singles,5,811,C.T.T. OLOT - CAPDEVILA PERMAR,177,TECNIGEN LINARES,"PROVOST , DAMIEN ROLAND", 27561 ,"RODRIGUEZ TORRES, ISRAEL", 8407 ,,,,,11-2,11-4,11-4,,,3-0,3 - 0
singles,5,811,C.T.T. OLOT - CAPDEVILA PERMAR,177,TECNIGEN LINARES,"PONS SANUY, ARNAU", 17694 ,"CABALLERO CUELLAR, CARLOS", 6788 ,,,,,11-13,11-9,11-9,11-7,,3-1,4 - 0
singles,6,1348,ENOLI LES BORGES VALL,811,C.T.T. OLOT - CAPDEVILA PERMAR,"PROVOST , DAMIEN ROLAND", 27561 ,"TAULER ALSINA, NORBERT", 18284 ,,,,,11-8,8-11,11-6,3-11,11-13,2-3,0 - 1
singles,6,1348,ENOLI LES BORGES VALL,811,C.T.T. OLOT - CAPDEVILA PERMAR,"DOS SANTOS PINHO, DIOGO JOSÉ", 33982 ,"MASIP NAVARRO, JOAN", 9787 ,,,,,0-11,9-11,1-11,,,0-3,0 - 2
singles,6,1348,ENOLI LES BORGES VALL,811,C.T.T. OLOT - CAPDEVILA PERMAR,"PONS SANUY, ARNAU", 17694 ,"DURAN GIRALT, MARC", 2856 ,,,,,13-11,13-15,8-11,10-12,,1-3,0 - 3
singles,6,1348,ENOLI LES BORGES VALL,811,C.T.T. OLOT - CAPDEVILA PERMAR,"PROVOST , DAMIEN ROLAND", 27561 ,"MASIP NAVARRO, JOAN", 9787 ,,,,,11-8,11-6,7-11,15-13,,3-1,1 - 3
singles,6,1348,ENOLI LES BORGES VALL,811,C.T.T. OLOT - CAPDEVILA PERMAR,"PONS SANUY, ARNAU", 17694 ,"TAULER ALSINA, NORBERT", 18284 ,,,,,11-7,7-11,6-11,8-11,,1-3,1 - 4
singles,7,811,C.T.T. OLOT - CAPDEVILA PERMAR,21,ARTEAL SANTIAGO,"MANHANI JUNIOR , HUMBERTO", 31328 ,"DOS SANTOS PINHO, DIOGO JOSÉ", 33982 ,,,,,10-12,15-13,11-13,11-6,11-2,3-2,1 - 0
singles,7,811,C.T.T. OLOT - CAPDEVILA PERMAR,21,ARTEAL SANTIAGO,"MOLINA SOTO, MIGUEL", 16161 ,"DE LAS HERAS PLAZA, RAFAEL", 19291 ,,,,,5-11,12-14,3-11,,,0-3,1 - 1
singles,7,811,C.T.T. OLOT - CAPDEVILA PERMAR,21,ARTEAL SANTIAGO,"MENDES DA ENCARNÇAO, JOSÉ ÉNIO", 18618 ,"PONS SANUY, ARNAU", 17694 ,,,,,11-13,11-9,11-4,11-5,,3-1,2 - 1
singles,7,811,C.T.T. OLOT - CAPDEVILA PERMAR,21,ARTEAL SANTIAGO,"MANHANI JUNIOR , HUMBERTO", 31328 ,"DE LAS HERAS PLAZA, RAFAEL", 19291 ,,,,,6-11,7-11,11-9,11-9,11-3,3-2,3 - 1
singles,7,811,C.T.T. OLOT - CAPDEVILA PERMAR,21,ARTEAL SANTIAGO,"MENDES DA ENCARNÇAO, JOSÉ ÉNIO", 18618 ,"DOS SANTOS PINHO, DIOGO JOSÉ", 33982 ,,,,,8-11,11-8,4-11,11-9,11-9,3-2,4 - 1
singles,8,811,C.T.T. OLOT - CAPDEVILA PERMAR,193,HORTITEC ALZIRA TT,"GUILLOT RUIZ, JOSE CARLOS", 21851 ,"PROVOST , DAMIEN ROLAND", 27561 ,,,,,3-11,8-11,8-11,,,0-3,0 - 1
singles,8,811,C.T.T. OLOT - CAPDEVILA PERMAR,193,HORTITEC ALZIRA TT,"GOMEZ PERIS, SERGI", 19998 ,"ZHMUDENKO , YAROSLAV", 27181 ,,,,,7-11,4-11,11-9,6-11,,1-3,0 - 2
singles,8,811,C.T.T. OLOT - CAPDEVILA PERMAR,193,HORTITEC ALZIRA TT,"SANCHEZ TERRONES, JUAN PEDRO", 18622 ,"DE LAS HERAS PLAZA, RAFAEL", 19291 ,,,,,4-11,11-7,7-11,6-11,,1-3,0 - 3
singles,8,811,C.T.T. OLOT - CAPDEVILA PERMAR,193,HORTITEC ALZIRA TT,"GUILLOT RUIZ, JOSE CARLOS", 21851 ,"ZHMUDENKO , YAROSLAV", 27181 ,,,,,5-11,7-11,7-11,,,0-3,0 - 4
singles,9,911,SANTJOSEP.NET - SANT JORDI,811,C.T.T. OLOT - CAPDEVILA PERMAR,"ZHMUDENKO , YAROSLAV", 27181 ,"VEDRIEL SORIANO, CARLOS", 5790 ,,,,,11-2,11-5,11-7,,,3-0,1 - 0
singles,9,911,SANTJOSEP.NET - SANT JORDI,811,C.T.T. OLOT - CAPDEVILA PERMAR,"DOS SANTOS PINHO, DIOGO JOSÉ", 33982 ,"LUNDQVIST , JENS MICHAEL", 44246 ,,,,,11-9,11-8,7-11,8-11,8-11,2-3,1 - 1
singles,9,911,SANTJOSEP.NET - SANT JORDI,811,C.T.T. OLOT - CAPDEVILA PERMAR,"PROVOST , DAMIEN ROLAND", 27561 ,"LEWANDOWSKI , TOMASZ MARCIN", 44250 ,,,,,12-10,9-11,7-11,11-7,8-11,2-3,1 - 2
singles,9,911,SANTJOSEP.NET - SANT JORDI,811,C.T.T. OLOT - CAPDEVILA PERMAR,"ZHMUDENKO , YAROSLAV", 27181 ,"LUNDQVIST , JENS MICHAEL", 44246 ,,,,,3-11,8-11,12-10,11-9,11-9,3-2,2 - 2
singles,9,911,SANTJOSEP.NET - SANT JORDI,811,C.T.T. OLOT - CAPDEVILA PERMAR,"PROVOST , DAMIEN ROLAND", 27561 ,"VEDRIEL SORIANO, CARLOS", 5790 ,,,,,11-3,11-4,11-9,,,3-0,3 - 2
singles,9,911,SANTJOSEP.NET - SANT JORDI,811,C.T.T. OLOT - CAPDEVILA PERMAR,"DOS SANTOS PINHO, DIOGO JOSÉ", 33982 ,"LEWANDOWSKI , TOMASZ MARCIN", 44250 ,,,,,10-12,10-12,8-11,,,0-3,3 - 3
singles,10,811,C.T.T. OLOT - CAPDEVILA PERMAR,385,UNIVERSIDAD DE BURGOS - TPF,"DE LAS HERAS PLAZA, RAFAEL", 19291 ,"CAI , SHUNHANG", 44912 ,,,,,11-6,11-5,15-13,,,3-0,1 - 0
singles,10,811,C.T.T. OLOT - CAPDEVILA PERMAR,385,UNIVERSIDAD DE BURGOS - TPF,"PROVOST , DAMIEN ROLAND", 27561 ,"BELIK , SIMON", 44659 ,,,,,11-4,11-7,12-10,,,3-0,2 - 0
singles,10,811,C.T.T. OLOT - CAPDEVILA PERMAR,385,UNIVERSIDAD DE BURGOS - TPF,"ZHMUDENKO , YAROSLAV", 27181 ,"BERZOSA CASAS, DANIEL", 17323 ,,,,,9-11,7-11,9-11,,,0-3,2 - 1
singles,10,811,C.T.T. OLOT - CAPDEVILA PERMAR,385,UNIVERSIDAD DE BURGOS - TPF,"DE LAS HERAS PLAZA, RAFAEL", 19291 ,"BELIK , SIMON", 44659 ,,,,,8-11,11-6,11-9,15-13,,3-1,3 - 1
singles,10,811,C.T.T. OLOT - CAPDEVILA PERMAR,385,UNIVERSIDAD DE BURGOS - TPF,"ZHMUDENKO , YAROSLAV", 27181 ,"CAI , SHUNHANG", 44912 ,,,,,11-4,11-9,11-7,,,3-0,4 - 1
singles,11,39,IRUN LEKA ENEA,811,C.T.T. OLOT - CAPDEVILA PERMAR,"GUERRICABEITIA ECHEVERRIA, JON ANDER", 36533 ,"DOS SANTOS PINHO, DIOGO JOSÉ", 33982 ,,,,,12-10,6-11,9-11,11-9,15-13,3-2,1 - 0
singles,11,39,IRUN LEKA ENEA,811,C.T.T. OLOT - CAPDEVILA PERMAR,"PALACIOS RUIZ DE EGINO, DANIEL", 7535 ,"PROVOST , DAMIEN ROLAND", 27561 ,,,,,8-11,4-11,10-12,,,0-3,1 - 1
singles,11,39,IRUN LEKA ENEA,811,C.T.T. OLOT - CAPDEVILA PERMAR,"ZANDECKI , JAN MICHAL", 41896 ,"PONS SANUY, ARNAU", 17694 ,,,,,11-6,11-9,11-1,,,3-0,2 - 1
singles,11,39,IRUN LEKA ENEA,811,C.T.T. OLOT - CAPDEVILA PERMAR,"GUERRICABEITIA ECHEVERRIA, JON ANDER", 36533 ,"PROVOST , DAMIEN ROLAND", 27561 ,,,,,4-11,7-11,12-10,9-11,,1-3,2 - 2
singles,11,39,IRUN LEKA ENEA,811,C.T.T. OLOT - CAPDEVILA PERMAR,"ZANDECKI , JAN MICHAL", 41896 ,"DOS SANTOS PINHO, DIOGO JOSÉ", 33982 ,,,,,11-7,11-7,8-11,11-5,,3-1,3 - 2
singles,11,39,IRUN LEKA ENEA,811,C.T.T. OLOT - CAPDEVILA PERMAR,"PALACIOS RUIZ DE EGINO, DANIEL", 7535 ,"PONS SANUY, ARNAU", 17694 ,,,,,11-4,11-7,5-11,6-11,11-9,3-2,4 - 2
singles,12,73,ALICANTE TM,811,C.T.T. OLOT - CAPDEVILA PERMAR,"ROSSI , CARLO", 44378 ,"DOS SANTOS PINHO, DIOGO JOSÉ", 33982 ,,,,,6-11,11-13,3-11,,,0-3,0 - 1
singles,12,73,ALICANTE TM,811,C.T.T. OLOT - CAPDEVILA PERMAR,"LILLO BORDAJANDI, DIEGO", 18376 ,"MARTINS DA SILVA, DIOGO MIGUEL", 40963 ,,,,,11-8,11-4,11-7,,,3-0,1 - 1
singles,12,73,ALICANTE TM,811,C.T.T. OLOT - CAPDEVILA PERMAR,"NUCHCHART , SITISAK", 44782 ,"PONS SANUY, ARNAU", 17694 ,,,,,7-11,11-9,14-16,13-15,,1-3,1 - 2
singles,12,73,ALICANTE TM,811,C.T.T. OLOT - CAPDEVILA PERMAR,"ROSSI , CARLO", 44378 ,"MARTINS DA SILVA, DIOGO MIGUEL", 40963 ,,,,,9-11,9-11,18-16,3-11,,1-3,1 - 3
singles,12,73,ALICANTE TM,811,C.T.T. OLOT - CAPDEVILA PERMAR,"NUCHCHART , SITISAK", 44782 ,"DOS SANTOS PINHO, DIOGO JOSÉ", 33982 ,,,,,7-11,8-11,5-11,,,0-3,1 - 4
