license,name,tipo,categoria,rk_1,rk_2,nacionalidad,season,genre,category,team_id
29397,ADRIAN BARNEDO CAMACHO,B,S21-M, 0.0 , 500.0 ,ESPAÑOLA,2022-2023,male,divisio-honor,10759
8620,ALEXANDRU-CONSTANTIN PLUGARU ,A.2,SEN-M, 200.0 , 200.0 ,RUMANA,2022-2023,male,divisio-honor,10759
21943,ALVARO BENITEZ DE LA FUENTE,A.2,S21-M, 465.0 , 465.0 ,ESPAÑOLA,2022-2023,male,divisio-honor,10759
37143,DANIEL LEON PANIAGUA,B,INF-M, 0.0 , 500.0 ,ESPAÑOLA,2022-2023,male,divisio-honor,10759
30804,DAVID JERMAN VALENZUELA HERNANDEZ,A.2,SEN-M, 1036.0 , 1051.0 ,CHILENA,2022-2023,male,divisio-honor,10759
9414,DRAGOS ANTIMIR ,A.2,SEN-M, 1530.0 , 1530.0 ,ESPAÑOLA,2022-2023,male,divisio-honor,10759
27121,FABIAN BENITEZ FIGUEROA,B,V60-M, 0.0 , 500.0 ,ESPAÑOLA,2022-2023,male,divisio-honor,10759
40371,GABRIEL BARRAGáN DE PEDRO,B,INF-M, 0.0 , 0.0 ,ESPAÑOLA,2022-2023,male,divisio-honor,10759
2726,JAVIER BENITO RODRIGUEZ,A.2,SEN-M, 0.0 , 1766.0 ,ESPAÑOLA,2022-2023,male,divisio-honor,10759
40978,JERONIMO SALAZAR GUEVARA,B,JUV-M, 0.0 , 250.0 ,COLOMBIANA,2022-2023,male,divisio-honor,10759
20960,JULIO ALEJANDRO MUÑOZ  SEVILLA,A.2,SEN-M, 83.0 , 83.0 ,ESPAÑOLA,2022-2023,male,divisio-honor,10759
39374,LAUTARO SATO CORIA,A.2,S21-M, 750.0 , 1206.0 ,ARGENTINA,2022-2023,male,divisio-honor,10759
24201,LIAM TRAYNOR ROCHAS,A.2,S21-M, 108.0 , 108.0 ,ESPAÑOLA,2022-2023,male,divisio-honor,10759
39373,MARK HEEZEN ,A.2,S21-M, 125.0 , 125.0 ,COMUNITARIO,2022-2023,male,divisio-honor,10759
35004,NICOLAS MORATA DIAZ,B,INF-M, 431.0 , 431.0 ,ESPAÑOLA,2022-2023,male,divisio-honor,10759
21253,RICARDO EXPOSITO ARCHILLA,A.2,JUV-M, 169.0 , 169.0 ,ESPAÑOLA,2022-2023,male,divisio-honor,10759
21275,WEI BIN ZHOU XIANG,A.2,SEN-M, 0.0 , 125.0 ,ESPAÑOLA,2022-2023,male,divisio-honor,10759
